,learn_par_d,diff_par_b,num_sess,num_days,num_probs,num_atts,num_hints,frac_corr_atts,frac_3s_atts,frac_1s_hints,time_atts,time_hints,probl_views,atts_at_step,avg_time_att,avg_time_hint
0,0.5187482391315709,0.449337564039785,163.0,11.0,155.0,385.0,327.0,0.6467532467532467,0.03636363636363636,0.581039755351682,10376.0,2427.0,1.096774193548387,3.2193548387096773,26.95064935064935,7.422018348623853
1,21.352956754755244,0.18182569861887338,45.0,1.0,45.0,55.0,163.0,0.9636363636363636,0.01818181818181818,0.803680981595092,661.0,841.0,1.0,4.044444444444444,12.018181818181818,5.159509202453988
2,0.0764994835689376,0.47594141631654374,189.0,11.0,169.0,653.0,217.0,0.5405819295558959,0.03215926493108729,0.3317972350230415,24416.0,3294.0,1.136094674556213,2.8757396449704142,37.39050535987749,15.179723502304148
3,0.3194631427183403,0.6657064127069106,168.0,14.0,155.0,705.0,498.0,0.4595744680851064,0.15460992907801419,0.5301204819277109,13851.0,4470.0,1.1419354838709677,3.9419354838709677,19.646808510638298,8.975903614457831
4,-0.18112265539958333,0.2517033772222974,8.0,1.0,8.0,15.0,3.0,0.7333333333333333,0.0,0.0,1262.0,66.0,1.0,1.75,84.13333333333334,22.0
5,0.15221298806294611,0.45029122585738707,220.0,9.0,177.0,674.0,190.0,0.5741839762611276,0.13204747774480713,0.5842105263157895,11862.0,1933.0,1.2824858757062148,2.2994350282485874,17.59940652818991,10.173684210526316
6,0.38151136590551293,0.4363658684667445,217.0,15.0,200.0,634.0,263.0,0.6182965299684543,0.022082018927444796,0.33460076045627374,19495.0,4256.0,1.145,2.323232323232323,30.749211356466876,16.182509505703422
7,-0.2591322379113064,0.31988567027851944,100.0,9.0,97.0,189.0,5.0,0.656084656084656,0.010582010582010581,0.0,10750.0,394.0,1.041237113402062,1.4845360824742269,56.87830687830688,78.8
8,-0.19639830786103915,0.37028543761842514,54.0,9.0,48.0,156.0,37.0,0.5961538461538461,0.02564102564102564,0.10810810810810811,11010.0,3028.0,1.1875,2.3125,70.57692307692308,81.83783783783784
9,-0.46048993961749746,0.260524377640803,38.0,8.0,31.0,72.0,20.0,0.6805555555555556,0.027777777777777776,0.05,4679.0,1183.0,1.1935483870967742,1.7419354838709677,64.98611111111111,59.15
10,-0.041771426946317324,0.183082991418741,165.0,12.0,160.0,262.0,17.0,0.8129770992366412,0.003816793893129771,0.0,12557.0,797.0,1.05625,1.2264150943396226,47.92748091603053,46.88235294117647
